step,day,step_of_day,state,action,reward
280,56,0,sedentary,nudge,1.0
281,56,1,active,nudge,1.0
282,56,2,active,nudge,1.0
283,56,3,active,nudge,1.0
284,56,4,active,nudge,0.0
285,57,0,sedentary,nudge,0.0
286,57,1,sedentary,nudge,1.0
287,57,2,active,nudge,1.0
288,57,3,active,nudge,0.0
289,57,4,sedentary,nudge,1.0
290,58,0,active,nudge,0.0
291,58,1,sedentary,nudge,1.0
292,58,2,active,nudge,0.0
293,58,3,sedentary,nudge,1.0
294,58,4,active,nudge,0.0
295,59,0,sedentary,nudge,0.0
296,59,1,sedentary,nudge,0.0
297,59,2,sedentary,nudge,0.0
298,59,3,sedentary,nudge,0.0
299,59,4,sedentary,nudge,0.0
300,60,0,sedentary,nudge,0.0
301,60,1,sedentary,nudge,1.0
302,60,2,active,nudge,0.0
303,60,3,sedentary,nudge,0.0
304,60,4,sedentary,nudge,0.0
305,61,0,sedentary,nudge,0.0
306,61,1,sedentary,nudge,0.0
307,61,2,sedentary,nudge,0.0
308,61,3,sedentary,nudge,1.0
309,61,4,active,nudge,1.0
310,62,0,active,nudge,1.0
311,62,1,active,nudge,1.0
312,62,2,active,nudge,1.0
313,62,3,active,nudge,1.0
314,62,4,active,nudge,1.0
315,63,0,active,nudge,1.0
316,63,1,active,nudge,1.0
317,63,2,active,nudge,0.0
318,63,3,sedentary,nudge,1.0
319,63,4,active,nudge,0.0
320,64,0,sedentary,nudge,0.0
321,64,1,sedentary,nudge,0.0
322,64,2,sedentary,nudge,0.0
323,64,3,sedentary,nudge,0.0
324,64,4,sedentary,nudge,0.0
325,65,0,sedentary,nudge,0.0
326,65,1,sedentary,nudge,0.0
327,65,2,sedentary,nudge,0.0
328,65,3,sedentary,nudge,0.0
329,65,4,sedentary,nudge,1.0
330,66,0,active,nudge,0.0
331,66,1,sedentary,nudge,1.0
332,66,2,active,nudge,0.0
333,66,3,sedentary,nudge,0.0
334,66,4,sedentary,nudge,1.0
335,67,0,active,nudge,0.0
336,67,1,sedentary,nudge,1.0
337,67,2,active,nudge,0.0
338,67,3,sedentary,nudge,1.0
339,67,4,active,idle,0.0
340,68,0,sedentary,nudge,1.0
341,68,1,active,nudge,0.0
342,68,2,sedentary,nudge,0.0
343,68,3,sedentary,nudge,0.0
344,68,4,sedentary,nudge,0.0
345,69,0,sedentary,nudge,0.0
346,69,1,sedentary,nudge,0.0
347,69,2,sedentary,nudge,1.0
348,69,3,active,nudge,0.0
349,69,4,sedentary,nudge,1.0
350,70,0,active,nudge,0.0
351,70,1,sedentary,nudge,1.0
352,70,2,active,nudge,0.0
353,70,3,sedentary,nudge,0.0
354,70,4,sedentary,nudge,0.0
355,71,0,sedentary,nudge,0.0
356,71,1,sedentary,nudge,0.0
357,71,2,sedentary,nudge,0.0
358,71,3,sedentary,nudge,0.0
359,71,4,sedentary,nudge,0.0
360,72,0,sedentary,nudge,0.0
361,72,1,sedentary,nudge,1.0
362,72,2,active,nudge,1.0
363,72,3,active,nudge,1.0
364,72,4,active,nudge,0.0
365,73,0,sedentary,nudge,0.0
366,73,1,sedentary,nudge,0.0
367,73,2,sedentary,nudge,0.0
368,73,3,sedentary,nudge,0.0
369,73,4,sedentary,nudge,0.0
370,74,0,sedentary,nudge,0.0
371,74,1,sedentary,nudge,1.0
372,74,2,active,nudge,1.0
373,74,3,active,nudge,1.0
374,74,4,active,nudge,1.0
375,75,0,active,nudge,1.0
376,75,1,active,nudge,0.0
377,75,2,sedentary,nudge,0.0
378,75,3,sedentary,nudge,0.0
379,75,4,sedentary,nudge,0.0
380,76,0,sedentary,nudge,0.0
381,76,1,sedentary,nudge,0.0
382,76,2,sedentary,nudge,0.0
383,76,3,sedentary,nudge,0.0
384,76,4,sedentary,nudge,0.0
385,77,0,sedentary,nudge,0.0
386,77,1,sedentary,nudge,0.0
387,77,2,sedentary,nudge,0.0
388,77,3,sedentary,nudge,1.0
389,77,4,active,nudge,0.0
390,78,0,sedentary,nudge,0.0
391,78,1,sedentary,nudge,1.0
392,78,2,active,nudge,0.0
393,78,3,sedentary,nudge,0.0
394,78,4,sedentary,nudge,1.0
395,79,0,active,nudge,1.0
396,79,1,active,nudge,0.0
397,79,2,sedentary,nudge,1.0
398,79,3,active,nudge,1.0
399,79,4,active,nudge,1.0
400,80,0,active,nudge,1.0
401,80,1,active,nudge,0.0
402,80,2,sedentary,nudge,0.0
403,80,3,sedentary,nudge,1.0
404,80,4,active,nudge,0.0
405,81,0,sedentary,nudge,0.0
406,81,1,sedentary,nudge,1.0
407,81,2,active,nudge,0.0
408,81,3,sedentary,nudge,1.0
409,81,4,active,nudge,0.0
410,82,0,sedentary,nudge,0.0
411,82,1,sedentary,nudge,0.0
412,82,2,sedentary,nudge,1.0
413,82,3,active,nudge,0.0
414,82,4,sedentary,nudge,1.0
415,83,0,active,nudge,1.0
416,83,1,active,nudge,1.0
417,83,2,active,nudge,0.0
418,83,3,sedentary,nudge,1.0
419,83,4,active,nudge,0.0
420,84,0,sedentary,nudge,0.0
421,84,1,sedentary,nudge,1.0
422,84,2,active,nudge,1.0
423,84,3,active,nudge,1.0
424,84,4,active,nudge,0.0
425,85,0,sedentary,nudge,0.0
426,85,1,sedentary,nudge,1.0
427,85,2,active,nudge,0.0
428,85,3,sedentary,nudge,1.0
429,85,4,active,nudge,0.0
430,86,0,sedentary,nudge,0.0
431,86,1,sedentary,nudge,0.0
432,86,2,sedentary,nudge,0.0
433,86,3,sedentary,nudge,0.0
434,86,4,sedentary,nudge,1.0
435,87,0,active,nudge,1.0
436,87,1,active,nudge,1.0
437,87,2,active,nudge,0.0
438,87,3,sedentary,nudge,0.0
439,87,4,sedentary,nudge,0.0
440,88,0,sedentary,nudge,0.0
441,88,1,sedentary,nudge,1.0
442,88,2,active,nudge,0.0
443,88,3,sedentary,nudge,1.0
444,88,4,active,nudge,1.0
445,89,0,active,nudge,0.0
446,89,1,sedentary,nudge,0.0
447,89,2,sedentary,nudge,0.0
448,89,3,sedentary,nudge,1.0
449,89,4,active,nudge,0.0
